# source: Table of dates 172–221 B.E. accompanying implementation guidance for the Badí‘ calendar
# publisher: Universal House of Justice / National Spiritual Assembly of the Bahá’ís of New Zealand
# url: https://guidelines.bahai.org.nz/wp-content/uploads/2022/07/GLSA-08-Holy-Days.pdf
# accessed: 2026-08-03
# license: redistribution rights unclear — transcribed facts only
# notes: 550 rows. Naw-Rúz and Twin Birthdays are transcribed from the 50-year table. The other eight holy days use the source’s own conditional date table (20-March versus 21-March Naw-Rúz); no astronomical generation was performed.
# verification: bodu 2026-08-03 — 550 rows = 50 years x 11 ids; fixed holy days at uniform Badi offsets from Naw-Ruz (+31/+39/+42/+64/+69/+111/+250/+252); Naw-Ruz always 20/21 Mar; Twin Birthdays consecutive within 14 Oct-14 Nov; Birth of the Bab within 1 day of (8th new moon after Naw-Ruz, Tehran) + 1 day for all 50 years (tools/verify-bahai-poya-vectors.py); matches the committed 2025 exact and 2026 (183 B.E.) test anchors 7/7.
# columns: be_year,gregorian_year,holy_day_id,gregorian_date
be_year,gregorian_year,holy_day_id,gregorian_date
212,2055,martyrdom-of-the-bab,2055-07-10
212,2055,day-of-the-covenant,2055-11-26
212,2055,ascension-of-abdul-baha,2055-11-28
212,2055,birth-of-the-bab,2055-10-21
212,2055,birth-of-bahaullah,2055-10-22
213,2056,naw-ruz,2056-03-20
213,2056,first-day-of-ridvan,2056-04-20
213,2056,ninth-day-of-ridvan,2056-04-28
213,2056,twelfth-day-of-ridvan,2056-05-01
213,2056,declaration-of-the-bab,2056-05-23
213,2056,ascension-of-bahaullah,2056-05-28
213,2056,martyrdom-of-the-bab,2056-07-09
213,2056,day-of-the-covenant,2056-11-25
213,2056,ascension-of-abdul-baha,2056-11-27
213,2056,birth-of-the-bab,2056-11-08
213,2056,birth-of-bahaullah,2056-11-09
214,2057,naw-ruz,2057-03-20
214,2057,first-day-of-ridvan,2057-04-20
214,2057,ninth-day-of-ridvan,2057-04-28
214,2057,twelfth-day-of-ridvan,2057-05-01
214,2057,declaration-of-the-bab,2057-05-23
214,2057,ascension-of-bahaullah,2057-05-28
214,2057,martyrdom-of-the-bab,2057-07-09
214,2057,day-of-the-covenant,2057-11-25
214,2057,ascension-of-abdul-baha,2057-11-27
214,2057,birth-of-the-bab,2057-10-29
214,2057,birth-of-bahaullah,2057-10-30
215,2058,naw-ruz,2058-03-20
215,2058,first-day-of-ridvan,2058-04-20
215,2058,ninth-day-of-ridvan,2058-04-28
215,2058,twelfth-day-of-ridvan,2058-05-01
215,2058,declaration-of-the-bab,2058-05-23
215,2058,ascension-of-bahaullah,2058-05-28
215,2058,martyrdom-of-the-bab,2058-07-09
215,2058,day-of-the-covenant,2058-11-25
215,2058,ascension-of-abdul-baha,2058-11-27
215,2058,birth-of-the-bab,2058-10-18
215,2058,birth-of-bahaullah,2058-10-19
216,2059,naw-ruz,2059-03-20
